enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,faixa_experiencia,tipo_empresa,sem_info_empresa
17410,city_24,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,9,100-500,Pvt Ltd,2,48,0.0,6-10,Empresa privada,Com informação
6352,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Funded Startup,1,30,0.0,6-10,Startup,Com informação
12705,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,14,,,>4,182,0.0,11-20,,Sem informação
10381,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,Humanities,19,10000+,Pvt Ltd,,13,1.0,11-20,Empresa privada,Com informação
32963,city_103,0.92,,No relevent experience,no_enrollment,Graduate,STEM,18,1000-4999,Public Sector,1,80,0.0,11-20,Setor público,Com informação
15502,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Funded Startup,>4,23,0.0,6-10,Startup,Com informação
32809,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,10,<10,Pvt Ltd,1,76,1.0,6-10,Empresa privada,Com informação
5094,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,53,0.0,>20,Empresa privada,Com informação
20257,city_160,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,39,1.0,>20,,Sem informação
20338,city_145,0.555,,No relevent experience,Full time course,High School,,4,,,1,73,1.0,1-5,,Sem informação
24906,city_123,0.738,Male,Has relevent experience,no_enrollment,Masters,STEM,19,50-99,Pvt Ltd,>4,18,0.0,11-20,Empresa privada,Com informação
2293,city_128,0.527,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,22,1.0,<1,Empresa privada,Com informação
22683,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,2,65,0.0,1-5,Empresa privada,Com informação
29440,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,,2,60,1.0,1-5,,Sem informação
24516,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,18,0.0,>20,,Sem informação
9505,city_102,0.804,,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,47,0.0,6-10,,Sem informação
10268,city_61,0.913,Male,No relevent experience,Full time course,High School,,2,500-999,Public Sector,2,26,1.0,1-5,Setor público,Com informação
26218,city_103,0.92,Male,Has relevent experience,Full time course,Graduate,STEM,10,1000-4999,Pvt Ltd,2,90,1.0,6-10,Empresa privada,Com informação
17088,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,1,5000-9999,,never,3,1.0,1-5,,Sem informação
